0	0	4728
0	1	576
0	2	82
0	3	256
0	4	3688
0	5	555
0	6	11
0	7	3047
0	8	19
0	9	41
0	10	67
0	11	36
0	12	46199
0	13	287
0	14	6177
0	15	550
0	16	2129
0	18	1371
0	19	1164
0	20	202
0	21	784
1	0	1717
1	1	1435
1	2	334
1	3	1233
1	4	1446
1	5	3178
1	6	164
1	7	3341
1	8	169
1	9	4
1	10	451
1	11	118
1	12	830
1	13	727
1	14	8318
1	15	2256
1	16	618
1	18	658
1	19	8917
1	20	522
1	21	1368
2	0	13
2	1	1081
2	2	2
2	3	3367
2	4	61
2	5	129
2	6	193
2	7	62
2	8	3
2	9	1
2	10	974
2	11	686
2	12	33
2	13	9
2	14	120
2	15	365
2	16	16
2	18	71
2	19	5149
2	20	5
2	21	91
3	0	4917
3	1	3870
3	2	6
3	3	170
3	4	147
3	5	5356
3	6	1
3	7	241
3	8	35
3	9	9
3	10	36
3	11	1236
3	12	915
3	13	536
3	14	2372
3	15	741
3	16	393
3	18	607
3	19	12831
3	20	170
3	21	2682
4	0	3674
4	1	2605
4	2	289
4	3	510
4	4	16
4	5	4611
4	6	118
4	7	18
4	8	216
4	9	21
4	10	244
4	11	260
4	12	6692
4	13	752
4	14	3063
4	15	3593
4	16	2206
4	18	294
4	19	6288
4	20	608
4	21	1638
5	0	24197
5	1	627
5	2	242
5	3	1067
5	4	133
5	5	75
5	6	25
5	7	353
5	8	4
5	9	182
5	10	94
5	11	14
5	12	67386
5	13	2533
5	14	1067
5	15	142
5	16	3896
5	18	22
5	19	4253
5	20	300
5	21	5759
6	0	30
6	1	167
6	2	4
6	3	36
6	4	39
6	5	293
6	6	1
6	7	186
6	8	1
6	10	20
6	11	876
6	12	41
6	13	7
6	14	217
6	15	501
6	16	43
6	18	19
6	19	196
6	20	38
6	21	152
8	0	1
8	1	25
8	2	196
8	3	1708
8	5	15
8	6	3
8	10	100
8	12	6
8	14	3
8	15	3
8	16	1
8	18	2
8	19	61
8	21	40
9	0	4
9	1	14
9	2	8
9	3	29
9	4	60
9	5	37
9	6	1
9	7	111
9	8	1
9	9	609
9	10	11
9	11	1
9	12	54
9	13	5
9	14	94
9	15	23
9	16	57
9	18	12
9	19	54
9	20	18
9	21	15
10	0	257
10	1	917
10	2	3
10	3	2007
10	4	25
10	5	1481
10	6	1
10	7	46
10	8	5
10	9	1
10	10	167
10	11	243
10	12	375
10	13	116
10	14	206
10	15	361
10	16	52
10	18	634
10	19	4491
10	20	11
10	21	375
11	0	326
11	1	687
11	2	2
11	3	283
11	4	6
11	5	343
11	6	11
11	7	79
11	8	2
11	9	2
11	10	113
11	12	81
11	13	23
11	14	354
11	15	72
11	16	32
11	18	160
11	19	1702
11	20	23
11	21	302
12	0	3333
12	1	6177
12	2	4629
12	3	12173
12	4	19604
12	5	5732
12	6	463
12	7	31983
12	8	309
12	9	76
12	10	3025
12	11	304
12	12	27019
12	13	1360
12	14	66525
12	15	5501
12	16	4153
12	18	3855
12	19	18580
12	20	6436
12	21	6347
13	0	881
13	1	283
13	2	71
13	3	247
13	4	834
13	5	403
13	6	9
13	7	1213
13	8	19
13	9	3
13	10	63
13	11	3
13	12	6668
13	13	729
13	14	2232
13	15	200
13	16	393
13	18	71
13	19	545
13	20	191
13	21	293
14	0	10061
14	1	1476
14	2	45
14	3	353
14	4	328
14	5	55480
14	6	35
14	7	209
14	8	301
14	9	79
14	10	114
14	11	137
14	12	25952
14	13	4376
14	14	3099
14	15	18520
14	16	9589
14	18	172
14	19	5442
14	20	1820
14	21	5111
15	0	3964
15	1	2584
15	2	4264
15	3	7060
15	4	911
15	5	964
15	6	794
15	7	2858
15	8	17
15	9	17
15	10	3342
15	11	169
15	12	12668
15	13	368
15	14	3076
15	15	584
15	16	382
15	18	605
15	19	16386
15	20	280
15	21	2812
16	0	942
16	1	836
16	2	702
16	3	2021
16	4	2947
16	5	1040
16	6	136
16	7	3532
16	8	26
16	9	65
16	10	1216
16	11	32
16	12	6265
16	13	1135
16	14	3129
16	15	687
16	16	10203
16	18	306
16	19	5834
16	20	796
16	21	1244
17	0	1526
17	1	4178
17	2	163
17	3	225
17	4	2982
17	5	10986
17	6	166
17	8	831
17	9	46
17	10	110
17	11	193
17	12	3474
17	13	774
17	14	7238
17	15	12025
17	16	4507
17	18	244
17	19	2334
17	20	1540
17	21	2937
18	0	8
18	1	33
18	3	1714
18	4	3
18	5	2
18	6	390
18	7	32
18	10	339
18	11	1
18	12	7
18	14	7
18	15	9
18	16	1
18	18	2
18	19	12359
18	20	9
18	21	2
19	0	4300
19	1	6391
19	2	180
19	3	577
19	4	3445
19	5	17693
19	6	50
19	7	6160
19	8	102
19	9	45
19	10	137
19	11	200
19	12	13086
19	13	1063
19	14	29124
19	15	13542
19	16	2382
19	18	5107
19	19	2476
19	20	1279
19	21	8471
20	0	375
20	1	468
20	2	893
20	3	1585
20	4	46
20	5	1512
20	6	232
20	7	81
20	8	73
20	9	2
20	10	829
20	11	52
20	12	913
20	13	53
20	14	395
20	15	3017
20	16	514
20	18	153
20	19	3011
20	20	17
20	21	439
21	0	6715
21	1	3374
21	2	316
21	3	650
21	4	995
21	5	2486
21	6	63
21	7	2927
21	8	31
21	9	15
21	10	322
21	11	42
21	12	8920
21	13	498
21	14	5883
21	15	1413
21	16	1527
21	18	553
21	19	3737
21	20	395
21	21	3295
